Feature,Score
num__total_bytes,0.3993982784281951
num__total_packets,0.3712341825474863
num__duration,0.2386793582822937
num__flow_packets_s,0.21180767918126642
num__flow_bytes_s,0.2090725336081054
cat__flag_S0,0.1821946186695167
cat__flag_SF,0.16588506546218929
num__dst_port,0.1505604018786202
cat__flag_REJ,0.05412415651955005
num__fwd_packets,0.05281054087099668
cat__service_SSH,0.03531533468280634
cat__flag_S1,0.015260878222406848
cat__flag_S2,0.014842890557253074
cat__flag_RSTO,0.01471347890727448
cat__flag_RSTR,0.011305418323831695
cat__flag_SH,0.011070385263921123
cat__flag_RSTOS0,0.00954146136420908
cat__flag_S3,0.008685718233647943
cat__flag_OTH,0.008390432404724146
cat__service_HTTP,0.006856594859728116
cat__protocol_type_UDP,0.003427740937426371
cat__service_DNS,0.0026000467021238816
num__fwd_bytes,0.0012788965245327244
num__bwd_packets,0.001228206776926477
num__src_port,0.0011903788526632653
num__bwd_bytes,0.0011475891369996383
cat__protocol_type_TCP,0.0007620711420461834
cat__service_SMTP,0.0
cat__service_FTP,0.0
cat__service_POP3,0.0
cat__service_OTHER,0.0
cat__service_NNTP,0.0
cat__protocol_type_ICMP,0.0
cat__service_IRC,0.0
cat__service_HTTPS,0.0
